"204","2000 S Colorado  IV-103/104, Denver, CO, 80222","No_Match","","","-104.93792961708462,39.68068200690855","",""
"369","5305 E Colfax Ave B, Denver, CO, 80220","Match","Non_Exact","5305 E COLFAX AVE, DENVER, CO, 80220","-104.925644,39.740154","177312214","L"
"205","1447 N Quince St, Denver, CO, 80220","Match","Exact","1447 QUINCE ST, DENVER, CO, 80220","-104.90233,39.739395","177313496","L"
"447","2110 S Broadway, Denver, CO, 80210","Match","Non_Exact","2110 S BROADWAY, DENVER, CO, 80210","-104.987564,39.678215","177332916","L"
"207","4116 E Colfax Ave, Denver, CO, 80220","Match","Non_Exact","4116 E COLFAX AVE, DENVER, CO, 80220","-104.93899,39.740124","177311328","R"
"603","9135 E Northfield Blvd, Denver, CO, ","Match","Exact","9135 NORTHFIELD BLVD, DENVER, CO, 80238","-104.88339,39.785748","645173322","L"
"66","8286 E Northfield Blvd 1545, Denver, CO, 80238","Match","Exact","8286 NORTHFIELD BLVD, DENVER, CO, 80238","-104.89222,39.78522","650196031","R"
"24","7701 E 1st Pl C, Denver, CO, 80230","Match","Non_Exact","7701 E 1ST PL, DENVER, CO, 80230","-104.89654,39.72211","640072451","R"
"492","2280 S Colorado Blvd, Denver, CO, 80222","Match","Non_Exact","2280 S COLORADO BLVD, DENVER, CO, 80222","-104.94071,39.675205","177340882","L"
"298","1030 E 22nd Ave, Denver, CO, 80205","Tie","","","-104.97374801708297,39.74940971228682","",""
"573","4965 N Federal Blvd, Denver, CO, 80221","Match","Exact","4965 FEDERAL BLVD, DENVER, CO, 80221","-105.025276,39.786766","641713240","L"
"410","6433 E Evans Ave, Denver, CO, 80222","Match","Non_Exact","6433 E EVANS AVE, DENVER, CO, 80222","-104.913635,39.678467","177341653","L"
"652","6691 N Tower Rd, Denver, CO, 80249","Match","Exact","6691 TOWER RD, DENVER, CO, 80249","-104.77203,39.817997","650196118","L"
"257","201 E 6th Ave, Denver, CO, 80203","No_Match","","","-104.98432212617239,39.72627189670598","",""
"379","3453 W 32nd Ave, Denver, CO, 80211","Match","Non_Exact","3453 W 32ND AVE, DENVER, CO, 80211","-105.032974,39.762135","177300828","R"
"610","4279 N Tennyson St, Denver, CO, 80212","Match","Exact","4279 TENNYSON ST, DENVER, CO, 80212","-105.04399,39.774555","177299629","L"
"336","4084 E 8th, Denver, CO, ","No_Match","","","-104.93918067531551,39.730125056325114","",""
"216","1502 W Alameda Ave, Denver, CO, 80223","Match","Non_Exact","1502 W ALAMEDA AVE, DENVER, CO, 80223","-105.00885,39.711193","177330414","L"
"414","1205 N Federal Blvd, Denver, CO, 80204","Match","Exact","1205 FEDERAL BLVD, DENVER, CO, 80204","-105.0252,39.73499","639434562","R"
"458","2425 S Downing St, Denver, CO, 80210","Match","Non_Exact","2425 S DOWNING ST, DENVER, CO, 80210","-104.973465,39.67258","177333822","R"
"656","2055 E Evans Ave, Denver, CO, 80210","Match","Non_Exact","2055 E EVANS AVE, DENVER, CO, 80210","-104.96343,39.67851","177623972","L"
"339","3550 W 38th Ave, Denver, CO, 80211","Match","Non_Exact","3550 W 38TH AVE, DENVER, CO, 80211","-105.03407,39.76952","177300655","L"
"417","3910 W Colfax Ave, Denver, CO, 80204","Match","Non_Exact","3910 W COLFAX AVE, DENVER, CO, 80204","-105.038345,39.740334","177300519","L"
"73","4780 N Yampa St, Denver, CO, 80249","Match","Non_Exact","4780 N YAMPA ST, DENVER, CO, 80249","-104.77447,39.782207","640740573","R"
"617","4020 W Colfax Ave, Denver, CO, 80204","Match","Non_Exact","4020 W COLFAX AVE, DENVER, CO, 80204","-105.03962,39.740337","177300517","L"
"79","3100 N Inca St, Denver, CO, 80202","Match","Exact","3100 INCA ST, DENVER, CO, 80202","-104.99843,39.759914","650097111","R"
"37","2055 E Evans Ave, Denver, CO, 80210","Match","Non_Exact","2055 E EVANS AVE, DENVER, CO, 80210","-104.96343,39.67851","177623972","L"
"182","4875 N Federal Blvd, Denver, CO, 80221","Match","Exact","4875 FEDERAL BLVD, DENVER, CO, 80221","-105.025276,39.785343","641713237","L"
"142","4330 E 48th Ave, Denver, CO, 80216","No_Match","","","-104.93649136366787,39.78250952833206","",""
"263","6500 E Smith Rd, Denver, CO, 80207","Match","Exact","6500 SMITH RD, DENVER, CO, 80207","-104.912636,39.77312","177311711","R"
"340","5625 N Beeler, Denver, CO, 80238","No_Match","","","-104.88196443057575,39.79911952295308","",""
"220","10101 E Hampden Ave 103, Denver, CO, 80231","No_Match","","","-104.8700870170852,39.65422830357687","",""
"662","3605  Walnut St, Denver, CO, 80205","Match","Exact","3605 WALNUT ST, DENVER, CO, 80205","-104.974075,39.76864","177305043","L"
"301","99 S Broadway, Denver, CO, ","No_Match","","","-104.98809313057765,39.71517915043252","",""
"345","1890 E Evans Ave, Denver, CO, 80210","Match","Non_Exact","1890 E EVANS AVE, DENVER, CO, 80210","-104.965385,39.678467","177334073","R"
"346","1603 E Bruce Randolph Ave, Denver, CO, 80205","Match","Exact","1603 BRUCE RANDOLPH AVE, DENVER, CO, 80205","-104.96831,39.765762","177305329","L"
"500","4000 N Tennyson St 100, Denver, CO, 80212","No_Match","","","-105.04374313057633,39.77188907956039","",""
"227","1710  Wynkoop St, Denver, CO, 80202","Match","Exact","1710 WYNKOOP ST, DENVER, CO, 80202","-104.99952,39.753006","177304346","R"
"107","1919  19th St, Denver, CO, 80202","Match","Exact","1919 19TH ST, DENVER, CO, 80202","-104.998955,39.756","177304072","R"
"547","3550 W 38th Ave 80, Denver, CO, 80211","Match","Non_Exact","3550 W 38TH AVE, DENVER, CO, 80211","-105.03407,39.76952","177300655","L"
"306","1998 N Downing St, Denver, CO, 80218","No_Match","","","-104.97281995941235,39.74668421718216","",""
"309","24 N Broadway, Denver, CO, 80203","Match","Exact","24 BROADWAY, DENVER, CO, 80203","-104.987495,39.716835","177330871","R"
"628","2023 S Colorado Blvd 103, Denver, CO, 80222","Match","Non_Exact","2023 S COLORADO BLVD, DENVER, CO, 80222","-104.94087,39.679634","639438177","R"
"87","4475 N Peoria St, Denver, CO, 80239","Match","Exact","4475 PEORIA ST, DENVER, CO, 80239","-104.84704,39.777622","177350353","L"
